winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser,date
Li N.,Srebotnik K.,1.0951145707103027,0.41977512930356137,1.485081674667312,1.341862433508298,1.61,2.2,2007-01-10
Jankovic J.,Mauresmo A.,5.168800973351703,1.7885671409328936,1.2597421940758464,2.0132094550287873,2.37,1.53,2007-01-10
Vaidisova N.,Ivanovic A.,1.553907797787437,1.6301729953898345,1.9809040526965243,1.3998108249611954,1.8,1.9,2007-01-10
Bardina V.,Bammer S.,2.962067018370016,2.4338997491256293,1.689913309714637,1.2831869298245224,1.9,1.8,2007-01-11
Chakvetadze A.,Mirza S.,2.121392112530775,3.0163807812152164,1.9423270764301457,1.6781280932878904,1.39,2.75,2007-01-11
Clijsters K.,Li N.,3.7996633768382613,1.4559660309377795,1.530266690618791,1.2724717351420907,1.08,7,2007-01-11
Jankovic J.,Vaidisova N.,5.292969872838136,2.637264789082162,1.2338950358657168,1.6996678154786846,1.72,2,2007-01-11
Chakvetadze A.,Bardina V.,3.4251651804084746,3.68209309568314,1.6590399271665897,1.5152635318648586,1.25,3.5,2007-01-12
Clijsters K.,Jankovic J.,4.073387625630109,5.4360173198931125,1.433592456339148,1.2104138796779937,1.39,2.75,2007-01-12
Mauresmo A.,Perry S.,1.3687846223426878,-0.7775275286239652,1.77831768716952,2.1402154143487744,1.04,9.5,2007-01-15
Tu M.,Gallovits E.,-1.818429069761495,0.0,2.003390058822518,2.5,1.44,2.62,2007-01-15
Poutchkova O.,Domachowska M.,1.1698151245872432,0.0,1.451304475573076,2.5,1.36,3,2007-01-15
Sequera M.,Gajdosova J.,-0.30312127096571384,0.0,1.636288107981467,2.5,2.37,1.53,2007-01-15
Peer S.,Oprandi R.,2.523125016443665,-1.9133161097045484,1.1374049927745709,1.8881647790006293,1.1,6,2007-01-15
Ondraskova Z.,Fernandez C.,0.0,0.0,2.5,2.5,1.83,1.83,2007-01-15
Kirilenko M.,Sprem K.,0.028873728284146354,0.0,1.623355681528324,2.5,1.33,3.25,2007-01-15
Benesova I.,Voskoboeva G.,-1.7960689960690381,0.0,1.9361191894511787,2.5,1.72,2,2007-01-15
Yakimova A.,Pous Tio L.,0.0,0.0,2.5,2.5,1.57,2.25,2007-01-15
Azarenka V.,Fedak Y.,0.0,-0.36614873489506483,2.5,1.4463366397538935,1.8,1.9,2007-01-15
Muller M.,Cravero J.,-2.411044524238063,0.0,1.791462327718373,2.5,1.83,1.83,2007-01-15
Golovin T.,Smashnovai A.,-0.22350599276859867,0.0,1.7368963742936288,2.5,1.1,6,2007-01-15
Vakulenko J.,Likhovtseva E.,0.0,-0.5160687336537747,2.5,2.1997236421900856,2.0,1.72,2007-01-15
Dementieva E.,Foretz S.,-0.3430276834750789,0.0,1.6757866359829066,2.5,1.1,6.5,2007-01-15
Camerin M.E.,Flipkens K.,-2.4296814330873033,0.0,1.753382597014957,2.5,1.53,2.37,2007-01-15
Sugiyama A.,Arvidsson S.,-2.5769920095173147,-1.3830732902236833,1.788438536961711,2.0054260610211436,1.28,3.5,2007-01-15
Vaidisova N.,Craybas J.,2.1994605172278985,1.857671445519583,1.4590080952581739,1.2841893929393973,1.1,6.5,2007-01-15
Srebotnik K.,Dellacqua C.,-0.09670056908130362,0.0,1.2007103479479564,2.5,1.16,4.5,2007-01-15
Vesnina E.,Medina Garrigues A.,0.12320748317514835,0.7202777835340527,1.2392550797969724,1.4559675805075813,2.2,1.61,2007-01-15
Jankovic J.,Wozniak A.,4.701250568576389,0.0,0.9983613867872221,2.5,1.04,10,2007-01-15
Birnerova E.,Sucha M.,-1.3972705881786043,0.0,2.020824440571854,2.5,2.37,1.53,2007-01-15
Ruano Pascual V.,Czink M.,0.0,0.0,2.5,2.5,1.53,2.37,2007-01-15
Bartoli M.,Dushevina V.,-1.3432107352558782,-1.6645935329775257,1.4742757294945337,2.0163002412892683,1.66,2.1,2007-01-15
Safarova L.,Brianti A.,-0.4653228414734222,0.0,1.6633669785930707,2.5,1.33,3.25,2007-01-15
Dulko G.,Sun T.T.,0.08286711221955026,-0.38160958014680074,1.6997774319108425,1.6678585935175105,2.0,1.72,2007-01-15
Petrova N.,Tanasugarn T.,-1.368873237511314,0.0,1.9795947291751912,2.5,1.06,8,2007-01-15
Schiavone F.,Kloesel S.,0.0,0.0,2.5,2.5,1.12,5.5,2007-01-15
Schruff J.,Zheng J.,-0.2703882424508318,1.3254925253557819,2.311351232524886,1.6904323232163874,4.33,1.19,2007-01-15
Kuznetsova S.,Moore J.,-1.8171563590317177,-1.940641852960829,1.8954647880730495,1.975819885608865,1.02,11,2007-01-15
Adamczak M.,Tulyaganova I.,0.0,0.0,2.5,2.5,3.75,1.25,2007-01-15
Kremer A.,Krajicek M.,0.0,-1.7967924680294225,2.5,1.9334520193837494,2.75,1.39,2007-01-15
Williams S.,Santangelo M.,0.9204214109554737,-0.11721271632922735,1.4361135221898416,1.6932435517727933,1.3,3.39,2007-01-15
Sharapova M.,Pin C.,0.0,2.6780436195729953,2.5,1.4135358844805512,1.01,15,2007-01-16
Rodionova A.,Vinci R.,0.0,-1.5026970560986017,2.5,1.8496507568943166,2.62,1.44,2007-01-16
Mirza S.,Savchuk O.,2.3824117964161666,0.0,1.4054815081566343,2.5,1.11,6,2007-01-16
Ivanovic A.,King V.,1.4645695755594104,-1.5293571184978718,1.1859280529805096,1.9311564415512115,1.12,5.5,2007-01-16
Chakvetadze A.,Bammer S.,4.198666949390516,1.8245478092000096,1.4978345279319525,1.1293436197236844,1.14,5,2007-01-16
Granville L.,Beygelzimer Y.,0.13209399906426814,0.0,1.708256492565055,2.5,1.39,2.75,2007-01-16
Kostanic J.,Ferguson S.,-1.7150404730500763,0.4034666424343042,1.87070244670254,1.6361759167434646,1.44,2.62,2007-01-16
Stosur S.,Zakopalova K.,2.4340437134468687,0.0,1.1613609322422094,2.5,1.25,3.75,2007-01-16
Kudryavtseva A.,Laine E.,0.0,0.9750162562536058,2.5,1.9260472830539088,2.1,1.66,2007-01-16
Radwanska A.,Lepchenko V.,0.0,0.0,2.5,2.5,1.33,3.25,2007-01-16
Nakamura A.,Daniilidou E.,-1.310853097751696,1.959405265871994,1.907873505056895,1.608740453373409,2.5,1.5,2007-01-16
Voracova R.,Shaughnessy M.,0.0,-0.7160751913118075,2.5,2.132627959783796,2.75,1.39,2007-01-16
Razzano V.,Pratt N.,1.1549624944881414,2.5501955489976336,1.450952600043215,1.1944513002172479,1.57,2.25,2007-01-16
Bondarenko A.,Cohen Aloro S.,-0.6117221095640415,0.0,1.6985499251876517,2.5,1.33,3.25,2007-01-16
Garbin T.,Gagliardi E.,2.0430975035965533,0.0,1.2693118353060193,2.5,1.36,3,2007-01-16
Clijsters K.,Bardina V.,5.315185221381668,2.9029041391953023,1.3117085104513304,1.2704385681830306,1.01,13,2007-01-16
Morigami A.,Pironkova T.,0.0,0.0,2.5,2.5,2.1,1.66,2007-01-16
Hingis M.,Dechy N.,3.2652855132064076,0.0,0.9679470664205629,2.5,1.12,5.5,2007-01-16
Kanepi K.,Pennetta F.,-1.2897467419990425,-1.4987590498989245,2.026630448368479,1.9891229236048267,2.1,1.66,2007-01-16
Molik A.,Chan Y.J.,0.9846919558363312,0.0,1.5127843984891147,2.5,1.39,2.75,2007-01-16
Peng S.,Klepac A.,-1.6925856669104336,0.0,1.8813562638156713,2.5,1.14,5,2007-01-17
Schnyder P.,Brengle M.,0.036496913127796016,0.0,1.7799030047267244,2.5,1.03,11,2007-01-17
Zvonareva V.,Obziler T.,2.7345112852091553,-1.139312788470926,1.0280359055449653,2.0430550561396807,1.12,5.5,2007-01-17
Paszek T.,Bremond S.,0.0,-0.02338393596888355,2.5,1.3171420000449858,1.72,2,2007-01-17
Safina D.,Bychkova E.,3.2451443913473548,-1.7900051760005093,0.9843063436217049,1.9984142593433512,1.07,7.5,2007-01-17
Fedossova Y.,Castano C.,0.0,1.904372741003983,2.5,1.091802297121076,3.39,1.3,2007-01-17
Dominguez Lino L.,Rolle A.,0.0,0.0,2.5,2.5,2.0,1.72,2007-01-17
